Subject,Subj/Trial Number,TestTrialNum,Stimuli,idRespTime,ItemRecognResp,SourceSizeResp,SourceLocResp,ItemStatus,OldNewItemResp,ItemRecogStatus,SourceEncodingSize,SourceEncodingLoc,SourceConfidence_absSum,SourceCorrect
P01,P01_10,10,tank,1.847443705,Guess,0,0,lure,old,FalseAlarm,,,0,
P01,P01_100,100,lace,1.430648669,Know,3,3,target,old,Hit,small,upper,6,1
P01,P01_101,101,newt,1.847070295,Guess,1,1,lure,old,FalseAlarm,,,2,
P01,P01_102,102,kick,0.863761488,Remember,4,4,target,old,Hit,small,lower,8,0
P01,P01_103,103,quart,1.147339108,New,,,lure,old,CorrectRej,,,,
P01,P01_104,104,bush,1.847128253,New,,,target,new,Miss,large,lower,,
P01,P01_105,105,knight,0.947205079,Guess,2,2,target,old,Hit,large,lower,4,1
P01,P01_106,106,spruce,1.430567165,Guess,2,2,lure,old,FalseAlarm,,,4,
P01,P01_107,107,trout,2.447364314,New,,,lure,old,CorrectRej,,,,
P01,P01_108,108,waist,1.84715844,New,,,lure,old,CorrectRej,,,,
P01,P01_109,109,peach,2.147228322,New,,,lure,old,CorrectRej,,,,
P01,P01_11,11,vest,1.43079266,New,,,lure,old,CorrectRej,,,,
P01,P01_110,110,ditch,1.147253378,Remember,4,4,target,old,Hit,small,upper,8,1
P01,P01_111,111,wreck,1.71397272,Remember,3,3,lure,old,FalseAlarm,,,6,
P01,P01_112,112,dusk,1.147258509,Guess,3,3,target,old,Hit,large,upper,6,2
P01,P01_114,114,rack,1.147359031,New,,,lure,old,CorrectRej,,,,
P01,P01_115,115,glove,1.714078374,Remember,4,4,target,old,Hit,large,lower,8,1
P01,P01_116,116,rail,0.864124635,Remember,4,4,lure,old,FalseAlarm,,,8,
P01,P01_117,117,witch,1.247211267,New,,,lure,old,CorrectRej,,,,
P01,P01_118,118,blade,1.430409288,Guess,2,2,target,old,Hit,large,lower,4,1
P01,P01_119,119,graph,1.547303186,New,,,target,new,Miss,large,lower,,
P01,P01_12,12,starch,2.747228021,New,,,lure,old,CorrectRej,,,,
P01,P01_120,120,thread,0.863594555,Guess,0,0,lure,old,FalseAlarm,,,0,
P01,P01_121,121,frost,1.547291111,New,,,target,new,Miss,small,lower,,
P01,P01_122,122,purse,3.047382426,New,,,lure,old,CorrectRej,,,,
P01,P01_123,123,yoke,1.147209003,Remember,4,4,lure,old,FalseAlarm,,,8,
P01,P01_124,124,lamp,0.947301676,Know,3,3,target,old,Hit,large,upper,6,2
P01,P01_125,125,kiss,0.86411407,Remember,4,4,target,old,Hit,small,lower,8,0
P01,P01_126,126,clam,1.997309148,Remember,4,4,target,old,Hit,small,upper,8,1
P01,P01_127,127,cage,1.247460308,New,,,target,new,Miss,large,lower,,
P01,P01_128,128,fleet,1.547250963,New,,,target,new,Miss,small,upper,,
P01,P01_13,13,rope,1.430813187,Know,2,2,lure,old,FalseAlarm,,,4,
P01,P01_14,14,flood,1.14747193,Remember,2,2,target,old,Hit,large,upper,4,2
P01,P01_15,15,scar,2.846433957,New,,,lure,old,CorrectRej,,,,
P01,P01_16,16,globe,1.146431089,Guess,1,1,target,old,Hit,large,lower,2,1
P01,P01_17,17,jeep,1.430984347,Know,4,4,target,old,Hit,large,upper,8,2
P01,P01_19,19,hymn,0.583370086,Guess,1,1,target,old,Hit,small,lower,2,0
P01,P01_2,2,nail,0.58199085,New,,,lure,old,CorrectRej,,,,
P01,P01_20,20,mink,2.84716327,Guess,2,2,lure,old,FalseAlarm,,,4,
P01,P01_21,21,juice,0.947423631,New,,,target,new,Miss,large,upper,,
P01,P01_22,22,doll,1.430440078,Remember,4,4,target,old,Hit,large,lower,8,1
P01,P01_23,23,hood,0.647510116,Know,1,1,target,old,Hit,small,upper,2,1
P01,P01_24,24,vase,0.647469364,New,,,lure,old,CorrectRej,,,,
P01,P01_25,25,foil,1.247225153,Know,4,4,target,old,Hit,small,upper,8,1
P01,P01_26,26,hawk,1.847322958,Guess,4,4,target,old,Hit,small,upper,8,1
P01,P01_27,27,lard,2.147506041,Know,0,0,target,old,Hit,small,upper,0,0
P01,P01_28,28,pearl,2.280733419,New,,,lure,old,CorrectRej,,,,
P01,P01_29,29,arch,1.430221828,Guess,2,2,target,old,Hit,large,upper,4,2
P01,P01_3,3,cream,1.84683846,New,,,target,new,Miss,large,lower,,
P01,P01_30,30,pork,1.997468836,New,,,lure,old,CorrectRej,,,,
P01,P01_31,31,drum,2.147125084,Remember,4,4,target,old,Hit,small,upper,8,1
P01,P01_32,32,veil,2.447264698,New,,,lure,old,CorrectRej,,,,
P01,P01_33,33,tooth,1.430373667,Guess,0,0,lure,old,FalseAlarm,,,0,
P01,P01_34,34,brick,1.847406576,New,,,target,new,Miss,small,upper,,
P01,P01_35,35,mast,1.54715678,New,,,lure,old,CorrectRej,,,,
P01,P01_38,38,ramp,1.847228172,Guess,1,1,lure,old,FalseAlarm,,,2,
P01,P01_39,39,gown,2.447270131,New,,,target,new,Miss,large,lower,,
P01,P01_4,4,whip,1.547131423,New,,,lure,old,CorrectRej,,,,
P01,P01_40,40,keel,1.430466341,New,,,target,new,Miss,small,lower,,
P01,P01_41,41,heel,2.563908649,Guess,1,1,target,old,Hit,large,upper,2,2
P01,P01_42,42,maze,0.864435559,Guess,0,0,lure,old,FalseAlarm,,,0,
P01,P01_43,43,pipe,1.147326731,New,,,lure,old,CorrectRej,,,,
P01,P01_44,44,tomb,2.280516074,New,,,lure,old,CorrectRej,,,,
P01,P01_47,47,lime,2.283242245,New,,,lure,old,CorrectRej,,,,
P01,P01_48,48,hook,2.447167496,New,,,target,new,Miss,large,upper,,
P01,P01_49,49,haze,1.997297979,New,,,target,new,Miss,small,upper,,
P01,P01_5,5,duke,1.247303639,Remember,1,1,target,old,Hit,large,lower,2,1
P01,P01_50,50,deer,2.147389822,Guess,2,2,target,old,Hit,small,upper,4,1
P01,P01_51,51,bass,1.997481212,New,,,target,new,Miss,small,upper,,
P01,P01_52,52,lint,1.84734107,New,,,lure,old,CorrectRej,,,,
P01,P01_53,53,grape,1.847228172,New,,,target,new,Miss,small,lower,,
P01,P01_54,54,nerve,1.547326731,New,,,lure,old,CorrectRej,,,,
P01,P01_55,55,fuse,1.99723519,Remember,4,4,target,old,Hit,large,upper,8,2
P01,P01_56,56,herb,1.246782614,Remember,4,4,target,old,Hit,large,lower,8,1
P01,P01_57,57,flame,1.430873863,Remember,4,4,target,old,Hit,small,lower,8,0
P01,P01_58,58,skull,1.714070525,Remember,4,4,lure,old,FalseAlarm,,,8,
P01,P01_59,59,rake,1.996865402,Know,1,1,lure,old,FalseAlarm,,,2,
P01,P01_60,60,rein,1.147445969,New,,,lure,old,CorrectRej,,,,
P01,P01_61,61,cork,1.997142818,New,,,target,new,Miss,small,upper,,
P01,P01_62,62,badge,2.147448686,New,,,target,new,Miss,small,lower,,
P01,P01_63,63,ridge,1.84742348,New,,,lure,old,CorrectRej,,,,
P01,P01_64,64,stove,1.146489953,New,,,lure,old,CorrectRej,,,,
P01,P01_65,65,flag,2.447560226,Know,3,3,target,old,Hit,large,upper,6,2
P01,P01_66,66,tray,1.997384917,New,,,lure,old,CorrectRej,,,,
P01,P01_67,67,aisle,1.430643236,New,,,target,new,Miss,large,upper,,
P01,P01_68,68,lawn,1.713861935,New,,,target,new,Miss,large,upper,,
P01,P01_69,69,tent,1.430761266,New,,,lure,old,CorrectRej,,,,
P01,P01_7,7,goat,2.283058407,Know,3,3,target,old,Hit,small,lower,6,0
P01,P01_70,70,dome,1.547449894,Know,2,2,target,old,Hit,large,lower,4,1
P01,P01_71,71,pier,2.146128919,New,,,lure,old,CorrectRej,,,,
P01,P01_72,72,sponge,1.713918988,Guess,0,0,lure,old,FalseAlarm,,,0,
P01,P01_73,73,wheat,1.430434041,Know,0,0,lure,old,FalseAlarm,,,0,
P01,P01_74,74,bolt,1.847338353,Guess,2,2,target,old,Hit,small,lower,4,0
P01,P01_75,75,crown,2.847302431,Know,0,0,target,old,Hit,small,upper,0,0
P01,P01_76,76,itch,1.247360088,Guess,2,2,target,old,Hit,small,lower,4,0
P01,P01_77,77,crumb,2.280736136,Guess,1,1,target,old,Hit,large,upper,2,2
P01,P01_78,78,wing,1.84751555,New,,,lure,old,CorrectRej,,,,
P01,P01_79,79,dough,0.947436913,Know,2,2,target,old,Hit,large,lower,4,1
P01,P01_8,8,fork,1.547225606,Know,4,4,target,old,Hit,small,upper,8,1
P01,P01_80,80,yacht,1.548647103,Know,0,0,lure,old,FalseAlarm,,,0,
P01,P01_81,81,nest,2.563970532,New,,,lure,old,CorrectRej,,,,
P01,P01_82,82,reed,2.747270584,Guess,3,3,lure,old,FalseAlarm,,,6,
P01,P01_83,83,nurse,1.713974833,Guess,1,1,lure,old,FalseAlarm,,,2,
P01,P01_84,84,chalk,2.747378955,Guess,1,1,target,old,Hit,large,lower,2,1
P01,P01_85,85,bell,2.280605427,Know,0,0,target,old,Hit,small,lower,0,0
P01,P01_87,87,moss,2.849874347,New,,,lure,old,CorrectRej,,,,
P01,P01_88,88,hail,3.130368385,New,,,target,new,Miss,small,lower,,
P01,P01_89,89,seal,1.430599465,Guess,2,2,lure,old,FalseAlarm,,,4,
P01,P01_9,9,wrap,2.563991964,Guess,1,1,lure,old,FalseAlarm,,,2,
P01,P01_90,90,germ,1.147394048,Guess,2,2,target,old,Hit,large,upper,4,2
P01,P01_91,91,leaf,0.864194065,Guess,1,1,target,old,Hit,small,lower,2,0
P01,P01_92,92,bean,1.147400689,New,,,target,new,Miss,large,lower,,
P01,P01_93,93,mosque,1.547194513,Know,4,4,lure,old,FalseAlarm,,,8,
P01,P01_94,94,lens,1.714033396,Guess,0,0,target,old,Hit,small,upper,0,0
P01,P01_95,95,sleeve,1.713870387,Guess,0,0,lure,old,FalseAlarm,,,0,
P01,P01_96,96,pine,2.564069243,New,,,lure,old,CorrectRej,,,,
P01,P01_97,97,wolf,1.71398238,Guess,2,2,lure,old,FalseAlarm,,,4,
P01,P01_98,98,mouse,1.547353598,Know,1,1,lure,old,FalseAlarm,,,2,
P01,P01_99,99,mule,1.430811376,Know,0,0,lure,old,FalseAlarm,,,0,
P02,P02_10,10,flag,2.1473539,Remember,0,0,target,old,Hit,small,lower,0,0
P02,P02_100,100,blade,2.56408011,Remember,0,0,target,old,Hit,small,lower,0,0
P02,P02_101,101,purse,1.847190136,New,,,lure,old,CorrectRej,,,,
P02,P02_102,102,bolt,1.845998361,Remember,0,0,target,old,Hit,large,upper,0,0
P02,P02_103,103,grate,2.280772662,Remember,2,-3,target,old,Hit,large,lower,5,2
P02,P02_104,104,glove,1.847370955,Remember,0,0,target,old,Hit,small,lower,0,0
P02,P02_105,105,drum,1.997452233,Remember,-2,-3,target,old,Hit,small,upper,5,1
P02,P02_106,106,herb,1.547395859,Remember,1,-1,target,old,Hit,small,lower,2,1
P02,P02_107,107,lace,1.714125164,Remember,1,3,target,old,Hit,large,upper,4,2
P02,P02_108,108,quill,2.846477124,New,,,lure,old,CorrectRej,,,,
P02,P02_109,109,whip,2.447123725,New,,,lure,old,CorrectRej,,,,
P02,P02_11,11,keel,1.847335938,Remember,0,0,target,old,Hit,small,upper,0,0
P02,P02_110,110,duke,2.28074338,Remember,0,0,target,old,Hit,small,lower,0,0
P02,P02_111,111,mink,2.747307412,New,,,lure,old,CorrectRej,,,,
P02,P02_112,112,frost,1.713941326,Remember,1,-1,target,old,Hit,large,lower,2,2
P02,P02_113,113,juice,1.547292017,Remember,2,-1,target,old,Hit,small,upper,3,0
P02,P02_114,114,bell,2.147430272,Guess,0,0,target,old,Hit,small,lower,0,0
P02,P02_115,115,rake,1.997503249,New,,,lure,old,CorrectRej,,,,
P02,P02_116,116,fleet,2.280626859,Remember,1,2,target,old,Hit,small,upper,3,1
P02,P02_117,117,rail,2.14734424,New,,,lure,old,CorrectRej,,,,
P02,P02_118,118,goat,1.547320694,Remember,-1,3,target,old,Hit,large,upper,4,1
P02,P02_119,119,chalk,2.447393293,New,,,target,new,Miss,large,lower,,
P02,P02_12,12,sponge,2.847191947,New,,,lure,old,CorrectRej,,,,
P02,P02_120,120,hood,1.847301827,Remember,1,-1,target,old,Hit,large,upper,2,1
